,No.,Name,Date,Age,Expedition,Nationality,Cause of death,Location,Deaths by same cause,Year,Deaths that same year
186,187,Mariana Prodanova Maslarova,2004-05-23,43.0,Bulgarian,Bulgaria,Exposure,8700m N.E. Ridge,25.0,2004,7
187,188,Sean Egan,2005-04-28,63.0,Tim Redpath Expedition,Canada,Heart attack,4600m S.E. Ridge,5.0,2005,6
188,189,Michael Corey O'Brien[118],2005-05-02,39.0,Charity run with brother,United States,Fall into a crevasse,5800m Icefall South,10.0,2005,6
189,190,Marko Lihteneker,2005-05-21,45.0,,Slovenia,Oxygen problems,8600m N.E. Ridge,1.0,2005,6
190,191,Sirigereshiva Shankarappa Chaitanya,2005-05-30,,India,India,Exposure,8700m N.E. Ridge,25.0,2005,6
191,192,Dieter Kramer,2005-06-04,,German,Germany,Exposure,8000m N.E.,25.0,2005,6
192,193,Robert William Milne,2005-06-05,49.0,,United Kingdom,Organ failure due to freezing conditions,8200m S.E. Ridge,1.0,2005,6
193,194,Tuk Bahadur Thapa Magar Sherpa,2006-04-07,,American,Nepal,Altitude,5500m N.E. Ridge,1.0,2006,11
194,195,Ang Phinjo Sherpa,2006-04-21,50.0,American,Nepal,Avalanche,5900m Icefall,50.0,2006,11
195,196,Lhakpa Tseri,2006-04-21,,American,Nepal,Avalanche,5900m Icefall,50.0,2006,11
196,197,Dawa Temba,2006-04-21,,American,Nepal,Avalanche,5900m Icefall,50.0,2006,11
197,198,Jacques-Hugues Letrange,2006-05-06,,American,France,Exhaustion,N.E. Ridge,9.0,2006,11
198,199,Srikrishna,2006-05-14,,Indian,India,Fall,8600m N.E. Ridge,46.0,2006,11
199,200,David Sharp,2006-05-15,34.0,Asian Trekking,United Kingdom,Exposure and/or exhaustion,8600m N.E. Ridge,2.0,2006,11
200,201,Tomas Olsson,2006-05-16,30.0,,Sweden,Fall,8700m Norton Couloir,46.0,2006,11
201,202,Vitor Negrete,2006-05-19,38.0,Asian Trekking,Brazil,Exposure and/or exhaustion,"Camp III, 8200m N.E. Ridge",2.0,2006,11
202,203,Igor Plyushkin,2006-05-22,,Asian Trekking,Russia,Altitude sickness,7800m N.E. Ridge,17.0,2006,11
203,204,Thomas Weber,2006-05-25,,Asian Trekking,Germany,Altitude sickness,8700m N.E. Ridge,17.0,2006,11
204,205,Dawa Sherpa,2007-04-26,,,Nepal,,7200m South Col,,2007,7
205,206,Shinichi Ishii,2007-05-17,,,Japan,,8650m,,2007,7
206,207,Libor Kozak,2007-05-17,,,Czech,,8300m,,2007,7
207,208,Yoshitomi Okura,2007-05-16,62.0,Japanese,Japan,,N.E. Ridge,,2007,7
208,209,Maurizio Pierangelo,2007-05-17,46.0,Italian,Italy,,N.E. Ridge,,2007,7
209,210,Oh Hee-joon,2007-05-17,37.0,South Korean,South Korea,,S.W. Face,,2007,7
210,211,Lee Hyun-jo,2007-05-17,34.0,,South Korea,,S.W. Face,,2007,7
211,212,Uwe Gianni Goltz,2008-05-21,44.0,Sherpas documentary team,Switzerland,Exhaustion,8000m South Col,9.0,2008,1
212,213,Lhakpa Nuru,2009-05-07,,Eco Everest Expedition,Nepal,Avalanche,Icefall,50.0,2009,4
213,214,Věslav Chrzaszcz,2009-05-18,47.0,Eco Everest Expedition,Czech,Heart attack,,5.0,2009,4
214,215,Wenhong Wu,2009-05-19,41.0,,China,Altitude sickness,8750m,17.0,2009,4
215,216,Frank Ziebarth,2009-05-21,29.0,,Canada,Hypothermia and lack of oxygen,8700m North Summit,1.0,2009,4
216,217,László Várkonyi,2010-04-26,54.0,,Hungary,Avalanche crevasse fall,North Col,1.0,2010,3
217,218,Tom Jørgensen,2010-05-19,56.0,,Denmark,HACE,,1.0,2010,3
218,219,Peter Kinloch,2010-05-26,28.0,International,United Kingdom,Exhaustion,8600m,9.0,2010,3
219,220,Rick Hitch,2011-05-01,55.0,International,United States,Heart attack,7010m,5.0,2011,6
220,221,Alston Mendonca,2011-05-04,55.0,International,India,Heart Break,7010m,1.0,2011,6
221,222,Shailendra Kumar Upadhyaya,2011-05-09,82.0,Nepal,Nepal,Altitude sickness,Base Camp,17.0,2011,6
222,223,Takashi Ozaki,2011-05-12,58.0,International,Japan,Altitude sickness,8400m The Balcony,17.0,2011,6
223,224,John Delaney,2011-05-21,42.0,International,Ireland,Altitude sickness,8400m The Balcony,17.0,2011,6
224,225,Hiroaki Kino,2011-09-15,48.0,,Japan,Cerebral apoplexy,Lower Icefall,1.0,2011,6
225,226,Dawa Tenzing,2012-04-05,,Himex,Nepal,Stroke (CVA),Icefall,1.0,2012,10
226,227,Karsang Namgyal Sherpa,2012-04-19,,Prestige Adventures,Nepal,Altitude sickness,Base Camp,17.0,2012,10
227,228,Ramesh Gulve,2012-04-20,33.0,Pune team,India,Stroke,Base Camp,2.0,2012,10
228,229,Namgyal Tshering Sherpa,2012-04-21,28.0,,Nepal,Fall into a crevasse,Camp I,10.0,2012,10
229,230,Shriya Shah-Klorfine,2012-05-19,33.0,Utmost Adventures,Canada,Exhaustion,Below Balcony 8300m,9.0,2012,10
230,231,Eberhard Schaaf,2012-05-19,61.0,Asian Trekking,Germany,Cerebral oedema,Hillary Step,3.0,2012,10
231,232,Song Won-bin,2012-05-19,44.0,Korean Everest & Lhotse Expedition,South Korea,Fall,Balcony,46.0,2012,10
232,233,Ha Wenyi,2012-05-20,55.0,Mountain Experience,China,Suspected altitude sickness,Balcony,4.0,2012,10
233,234,Juan José Polo Carbayo,2012-05-20,43.0,Himalayan Guides,Spain,Exhaustion,8300m N.E. Ridge,9.0,2012,10
